alpha,bias,percentage_sim
0,-1,100
0,-0.9,100
0,-0.8,100
0,-0.7,100
0,-0.6,100
0,-0.5,100
0,-0.4,100
0,-0.3,100
0,-0.2,100
0,-0.1,100
0,0,100
0,0.1,100
0,0.2,100
0,0.3,100
0,0.4,100
0,0.5,100
0,0.6,100
0,0.7,100
0,0.8,100
0,0.9,100
0,1,100
0.1,-1,100
0.1,-0.9,100
0.1,-0.8,100
0.1,-0.7,100
0.1,-0.6,100
0.1,-0.5,100
0.1,-0.4,100
0.1,-0.3,100
0.1,-0.2,100
0.1,-0.1,100
0.1,0,100
0.1,0.1,100
0.1,0.2,100
0.1,0.3,100
0.1,0.4,100
0.1,0.5,100
0.1,0.6,100
0.1,0.7,100
0.1,0.8,100
0.1,0.9,100
0.1,1,100
0.2,-1,100
0.2,-0.9,100
0.2,-0.8,100
0.2,-0.7,100
0.2,-0.6,100
0.2,-0.5,100
0.2,-0.4,100
0.2,-0.3,100
0.2,-0.2,100
0.2,-0.1,100
0.2,0,100
0.2,0.1,100
0.2,0.2,100
0.2,0.3,100
0.2,0.4,100
0.2,0.5,100
0.2,0.6,100
0.2,0.7,100
0.2,0.8,100
0.2,0.9,100
0.2,1,100
0.3,-1,100
0.3,-0.9,100
0.3,-0.8,100
0.3,-0.7,100
0.3,-0.6,100
0.3,-0.5,100
0.3,-0.4,100
0.3,-0.3,100
0.3,-0.2,100
0.3,-0.1,100
0.3,0,100
0.3,0.1,100
0.3,0.2,100
0.3,0.3,100
0.3,0.4,100
0.3,0.5,100
0.3,0.6,100
0.3,0.7,100
0.3,0.8,100
0.3,0.9,100
0.3,1,100
0.4,-1,100
0.4,-0.9,100
0.4,-0.8,100
0.4,-0.7,100
0.4,-0.6,100
0.4,-0.5,100
0.4,-0.4,100
0.4,-0.3,100
0.4,-0.2,100
0.4,-0.1,100
0.4,0,100
0.4,0.1,100
0.4,0.2,100
0.4,0.3,100
0.4,0.4,100
0.4,0.5,100
0.4,0.6,100
0.4,0.7,100
0.4,0.8,100
0.4,0.9,100
0.4,1,100
0.5,-1,56
0.5,-0.9,53
0.5,-0.8,72
0.5,-0.7,87
0.5,-0.6,96
0.5,-0.5,100
0.5,-0.4,100
0.5,-0.3,100
0.5,-0.2,100
0.5,-0.1,100
0.5,0,100
0.5,0.1,100
0.5,0.2,100
0.5,0.3,100
0.5,0.4,100
0.5,0.5,100
0.5,0.6,100
0.5,0.7,100
0.5,0.8,100
0.5,0.9,100
0.5,1,100
0.6,-1,0
0.6,-0.9,0
0.6,-0.8,0
0.6,-0.7,0
0.6,-0.6,1
0.6,-0.5,16
0.6,-0.4,64
0.6,-0.3,99
0.6,-0.2,100
0.6,-0.1,100
0.6,0,100
0.6,0.1,100
0.6,0.2,100
0.6,0.3,100
0.6,0.4,100
0.6,0.5,100
0.6,0.6,100
0.6,0.7,100
0.6,0.8,100
0.6,0.9,100
0.6,1,100
0.7,-1,0
0.7,-0.9,0
0.7,-0.8,0
0.7,-0.7,0
0.7,-0.6,0
0.7,-0.5,0
0.7,-0.4,0
0.7,-0.3,15
0.7,-0.2,84
0.7,-0.1,100
0.7,0,100
0.7,0.1,100
0.7,0.2,100
0.7,0.3,100
0.7,0.4,100
0.7,0.5,100
0.7,0.6,100
0.7,0.7,100
0.7,0.8,100
0.7,0.9,100
0.7,1,100
0.8,-1,0
0.8,-0.9,0
0.8,-0.8,0
0.8,-0.7,0
0.8,-0.6,0
0.8,-0.5,0
0.8,-0.4,0
0.8,-0.3,0
0.8,-0.2,5
0.8,-0.1,84
0.8,0,100
0.8,0.1,100
0.8,0.2,100
0.8,0.3,100
0.8,0.4,100
0.8,0.5,100
0.8,0.6,100
0.8,0.7,100
0.8,0.8,100
0.8,0.9,100
0.8,1,100
0.9,-1,0
0.9,-0.9,0
0.9,-0.8,0
0.9,-0.7,0
0.9,-0.6,0
0.9,-0.5,0
0.9,-0.4,0
0.9,-0.3,0
0.9,-0.2,0
0.9,-0.1,0
0.9,0,77
0.9,0.1,100
0.9,0.2,100
0.9,0.3,100
0.9,0.4,100
0.9,0.5,100
0.9,0.6,100
0.9,0.7,100
0.9,0.8,100
0.9,0.9,100
0.9,1,100
1,-1,0
1,-0.9,0
1,-0.8,0
1,-0.7,0
1,-0.6,0
1,-0.5,0
1,-0.4,0
1,-0.3,0
1,-0.2,0
1,-0.1,0
1,0,1
1,0.1,64
1,0.2,100
1,0.3,100
1,0.4,100
1,0.5,100
1,0.6,100
1,0.7,100
1,0.8,100
1,0.9,100
1,1,100
