TeamSize,TimeAvgSeconds
10,0.000054
20,0.000174
30,0.000692
40,0.001102
50,0.002637
60,0.004970
70,0.008170
80,0.014079
90,0.021716
100,0.033560
110,0.045497
120,0.070920
130,0.087644
140,0.127207
150,0.177241
160,0.240723
170,0.311583
180,0.388001
190,0.518859
200,0.606727
210,0.839764
220,1.018235
230,1.250415
240,1.526785
250,1.812855
260,2.066599
270,2.520139
280,2.972748
290,3.439989
300,3.985243
310,4.597100
320,5.210774
330,5.727352
340,6.709825
350,7.598489
360,8.416339
370,9.124406
380,10.787010
390,11.303400
400,13.280130
